data,BREAKFAST PREVISTI (HOTEL),BREAKFAST SERVITI (HOTEL) ,BREAKFAST PREVISTI (RESIDENCE) ,BREAKFAST SERVITI (RESIDENCE) ,BREAKFAST PREVISTI (CVM) ,BREAKFAST SERVITI (CVM) ,BREAKFAST PRENOTATI (ESTERNI) ,BREAKFAST COMPLEMENTARY ,CONSUMO REALE COLAZIONI 
14/04/2024 11.30.50,95,95,0,1,0,0,0,4,100
15/04/2024 11.03.41,54,48,0,2,0,0,0,1,51
16/04/2024 11.18.38,31,24,0,1,0,0,1,1,27
17/04/2024 11.01.17,20,18,0,1,0,0,2,1,22
18/04/2024 11.21.15,25,23,0,1,0,0,6,1,31
19/04/2024 11.42.02,26,22,0,1,0,0,0,1,24
20/04/2024 11.44.11,33,29,0,4,4,4,0,1,38
21/04/2024 11.47.46,69,65,2,8,0,0,0,6,79
22/04/2024 11.02.49,47,44,4,2,0,0,0,1,47
23/04/2024 11.52.14,54,52,2,1,0,0,2,1,56
24/04/2024 11.36.12,53,51,0,3,0,0,0,0,54
25/04/2024 11.55.41,63,58,0,3,0,2,2,1,66
26/04/2024 12.00.37,118,118,9,20,0,8,0,0,146
27/04/2024 12.07.27,177,174,11,21,0,8,0,7,210
28/04/2024 12.10.23,175,175,12,24,0,0,2,8,209
29/04/2024 12.09.49,101,95,5,14,0,7,0,3,119
04/05/2024 11.33.18,109,106,2,7,0,2,2,4,121
05/05/2024 18.51.27,142,137,6,9,0,0,0,3,149
06/05/2024 11.54.42,79,77,0,2,0,0,3,1,83
07/05/2024 11.51.48,76,74,0,0,0,0,9,5,88
08/05/2024 11.25.11,67,63,0,0,0,0,0,1,64
09/05/2024 11.21.51,52,50,0,0,0,0,0,1,51
10/05/2024 11.05.03,93,90,0,0,0,0,4,1,95
11/05/2024 11.31.10,83,81,0,0,0,0,0,5,86
12/05/2024 12.05.33,112,108,0,0,0,0,3,0,111
13/05/2024 11.50.50,86,84,0,2,0,4,0,2,92
14/05/2024 11.58.11,100,95,0,0,0,0,0,1,96
15/05/2024 11.41.24,89,84,0,0,0,0,2,1,87
16/05/2024 11.55.03,112,108,0,5,0,0,0,6,119
17/05/2024 18.56.13,115,111,5,7,0,4,0,1,123
18/05/2024 12.19.24,155,153,12,12,0,4,9,1,179
19/05/2024 12.11.47,169,165,11,40,4,0,2,1,208
20/05/2024 11.57.28,143,140,4,24,7,7,3,1,175
21/05/2024 12.19.43,105,105,4,17,0,0,0,1,123
22/05/2024 12.05.12,114,108,4,6,0,0,0,0,114
23/05/2024 11.57.29,116,116,2,15,0,0,0,0,131
24/05/2024 11.47.56,107,107,19,31,0,0,0,0,138
25/05/2024 11.34.45,126,122,17,25,0,0,0,,147
26/05/2024 11.44.24,132,134,35,40,0,0,5,7,186
27/05/2024 11.56.13,131,128,12,23,0,0,0,3,154
28/05/2024 12.01.18,130,126,0,9,0,0,0,0,135
29/05/2024 12.04.32,132,124,0,25,0,0,4,0,153
30/05/2024 12.14.43,127,120,0,10,0,0,0,0,130
31/05/2024 11.54.37,119,111,0,10,0,0,0,0,121
01/06/2024 11.33.26,123,115,0,2,0,0,0,0,117
02/06/2024 11.48.58,129,116,0,7,0,0,2,0,125
03/06/2024 11.37.19,118,115,3,7,0,3,0,0,125
04/06/2024 18.56.35,143,135,0,4,0,0,0,0,139
