Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Mese,Costo Totale
BEVERAGE,ACQUA,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1,0.1496,14,1.6534,05_Maggio,2.0944
BEVERAGE,ACQUA,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1,0.15,74,11.1216,05_Maggio,11.1
BEVERAGE,CAFFETT,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20,1.2891,3,3.6384,05_Maggio,3.8673
BEVERAGE,CAFFETT,BEV.CAF.00005,THE TWINNINGS PURE GREEN 1CFX25PZ,CF,PZ,25,2.2606,2,5.1442,05_Maggio,4.52
BEVERAGE,CAFFETT,BEV.CAF.00006,THE TWINNINGS EARL GREY 1CFX25PZ,CF,PZ,25,1.905,4,7.206,05_Maggio,7.62
BEVERAGE,CAFFETT,BEV.CAF.00009,DIETOR,CF,CF,1,2.4505,3,0.7764,05_Maggio,7.35
BEVERAGE,CAFFETT,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25,3.2405,11,33.9342,05_Maggio,35.65
BEVERAGE,CAFFETT,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20,3.211,3,9.6329,05_Maggio,9.63
BEVERAGE,CAFFETT,BEV.CAF.00025,ORZO SOLUBILE 250GR X 20,PZ,PZ,1,24,5,120,05_Maggio,120
BEVERAGE,CAFFETT,BEV.CAF.00028,LATTE SOLUBILE 500GR x 20 pz,PZ,PZ,1,5.7915,41,5.945,05_Maggio,237.45
BEVERAGE,CAFFETT,CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,KG,GR,100,15,41,615,05_Maggio,615
BEVERAGE,LATTE,BEV.LAT.00001,LATTE INTERO UHT LT.1,LT,LT,1,1.216,97,117.3585,05_Maggio,117.95
BEVERAGE,LATTE,BEV.LAT.00002,LATTE DI RISO LT.1,LT,LT,1,1.3208,2,3.0146,05_Maggio,2.64
BEVERAGE,LATTE,BEV.LAT.00003,LATTE DI SOIA LT.1,LT,LT,1,1.6799,4,5.7676,05_Maggio,6.72
BEVERAGE,LATTE,BEV.LAT.00004,LATTE UHT PARZIALMENTE SCREMATO,LT,LT,1,1.04,19,19.5029,05_Maggio,19.76
BEVERAGE,LATTE,BEV.LAT.00005,LATTE UHT SENZA LATTOSIO 1LT,LT,LT,1,1.23,4,5.0155,05_Maggio,4.92
BEVERAGE,SOFDRINK,BEV.SOF.00024,SUCCO ARANCIA ROSSA BRICK 1LT,LT,CL,100,1.4133,3,4.2399,05_Maggio,4.2399
BEVERAGE,SOFDRINK,BEV.SOF.00029,SUCCO CONCENTRATO ACE 4GKX4PZ,PZ,PZ,1,41.75,4,167,05_Maggio,167
BEVERAGE,SOFDRINK,BEV.SOF.00030,SUCCO CONCENTRATO ANANAS 4GKX4PZ,PZ,PZ,1,41.75,4,167,05_Maggio,167
BEVERAGE,SOFDRINK,BEV.SOF.00031,SUCCO CONCENTRATO ARANCIA BIONDA 4GKX4PZ,PZ,PZ,1,41.75,4,167,05_Maggio,167
BEVERAGE,SOFDRINK,BEV.SOF.00046,"SUCCO ARANCIA BIONDA DERBY 1,5LTX6",LT,CL,100,1.25,82.5,103.125,05_Maggio,103.13
BEVERAGE,SOFDRINK,BEV.SOF.00047,"SUCCO ANANAS DERBY 1,5LTX6",LT,CL,100,1.2089,36,50.7837,05_Maggio,43.52
BEVERAGE,SOFDRINK,BEV.SOF.00050,"SUCCO ARANCIA ROSSA DERBY 1,5LT",LT,CL,100,1.1625,66,76.7264,05_Maggio,76.725
BEVERAGE,VINOBIAN,BEV.VIN.00010,VINO BIANCO PER CUCINARE,LT,LT,1,1.3326,2,2.7,05_Maggio,2.67
FOOD,BURR,FOO.BUR.00001,BURRO MONO 1CFX100PZ,CF,PZ,100,10.6585,15,138.1143,05_Maggio,159.88
FOOD,BURR,FOO.BUR.00002,BURRO 1KG,KG,KG,1,8.7871,4.2,38.0846,05_Maggio,36.90582
FOOD,CARNEROS,FOO.CRO.00001,SALSICCIA AIA LUGANEGA,KG,KG,1,7.664,57.45,434.4534,05_Maggio,440.3
FOOD,CEREALI,FOO.CER.00002,CEREALI CORN FLAKES ALPEDI' 1KG,KG,KG,1,3.8219,6.5,0.9627,05_Maggio,24.84
FOOD,CEREALI,FOO.CER.00004,MUESLI CIOCCOLATO E NOCCIOLE 1KG,KG,KG,1,5.1664,11,54.9031,05_Maggio,56.8304
FOOD,CEREALI,FOO.CER.00006,CEREALI ALL BRAN KELLOGG'S GR.500,PZ,PZ,1,3.8617,10,43.47,05_Maggio,38.62
FOOD,CEREALI,FOO.CER.00007,MUESLI FRUTTI ROSSI 500GR,KG,KG,1,5.4415,16,68.8,05_Maggio,87.06
FOOD,CEREALI,FOO.CER.00001,FARINA 1KG,KG,KG,0,1.13,5,6.6986,05_Maggio,5.65
FOOD,FORMAGG,FOO.FOR.00001,EMMENTAL ALPEDOR,KG,GR,1000,7.3838,45.296,330.292,05_Maggio,334.46
FOOD,FORMAGG,FOO.FOR.00003,FORMAGGIO PHILADELPHIA MONO 60PZ,CF,PZ,1,16.7349,13,217.8518,05_Maggio,217.55
FOOD,FRUTTFRE,FOO.FRU.00001,ANANAS,KG,GR,1000,2.3699,234.32,516.9208,05_Maggio,555.314968
FOOD,FRUTTFRE,FOO.FRU.00002,ARANCE,KG,GR,1000,2.3627,162.5,260,05_Maggio,383.93875
FOOD,FRUTTFRE,FOO.FRU.00003,LIMONI,KG,GR,1000,2.7427,7.23,12.7563,05_Maggio,19.829721
FOOD,FRUTTFRE,FOO.FRU.00008,ANGURIA,KG,GR,1000,1.4229,201,331.6845,05_Maggio,286
FOOD,FRUTTFRE,FOO.FRU.00009,MELONE CANTALUPO,KG,GR,1000,1.821,143,259.1301,05_Maggio,260.4
FOOD,FRUTTFRE,FOO.FRU.00010,MELONE GIALLO,KG,GR,1000,1.489,111,210.9,05_Maggio,165.279
FOOD,FRUTTFRE,FOO.FRU.00012,KIWI,KG,GR,1000,7.5,0.7,2.8,05_Maggio,5.25
FOOD,MONODOLC,FOO.MDO.00001,BIFETTE MULINO BIANCO GR17X100PZ,PZ,PZ,1,0.1379,99,13.0383,05_Maggio,13.6521
FOOD,MONODOLC,FOO.MDO.00002,BIFETTE INTEGRALI MULINO BIANCO17GRX100P,PZ,PZ,1,0.1381,102,13.617,05_Maggio,14.09
VARIE,MONOUSO,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1,2.7154,9,22.7053,05_Maggio,24.4386
VARIE,MONOUSO,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1,2.9253,7,15.9992,05_Maggio,20.48
VARIE,MONOUSO,FOO.MON.00010,NUTELLA MONO 15GRX120PZ,PZ,PZ,1,0.1801,638,116.435,05_Maggio,114.9
VARIE,MONOUSO,FOO.MON.00012,ZUCCHERO SEMOLATO ERIDIANA 1KG,KG,KG,1,1.2315,2,2.4629,05_Maggio,2.46
FOOD,OLIO,FOO.OLI.00002,OLIO DI GIRASOLI 5LT,LT,LT,1,1.4664,30,31.54,05_Maggio,43.99
FOOD,OLIO,FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,LT,LT,1,9.8347,10,92.4,05_Maggio,98.35
FOOD,ORTAGGI,FOO.ORT.00002,POMODORO CUORE DI BUE,KG,KG,1,3.0293,90.1,270.3,05_Maggio,272.94
FOOD,PANE,FOO.PAN.00001,PANE BIANCO IN CASSETTA GR.400,CF,CF,1,1.1831,49,57.82,05_Maggio,57.9719
FOOD,PANE,FOO.PAN.00002,PANE INTEGRALE IN CASSETTA  GR 400,CF,CF,1,1.18,46,54.6435,05_Maggio,54.28
FOOD,PANE,FOO.PAN.00003,PANE CIABATTA,KG,KG,1,3,65.15,211.6592,05_Maggio,195.45
FOOD,PANE,FOO.PAN.00004,PAN BAULETTO GF MULINO BIANCO,PZ,PZ,1,2.99,2,5.98,05_Maggio,5.98
FOOD,PASTICCE,FOO.PPP.00002,FARINA PER DOLCI 1KG,KG,KG,1,1.7102,8,13.6269,05_Maggio,13.68
FOOD,PASTICCE,FOO.PPP.00003,STACCANTE ALIMENTARE SPRAY PER FORNO,PZ,PZ,1,4.5367,-1,-4.5367,05_Maggio,-4.54
FOOD,PASTICCE,FOO.PPP.00009,ALBUME D'UOVO 1LT,LT,LT,1,3.35,1,4.24,05_Maggio,3.35
FOOD,PASTICCE,FOO.PPP.00010,"BURRO PER DOLCI 2,5KG",KG,KG,1,6.669,4,26.676,05_Maggio,26.68
FOOD,PASTICCE,FOO.PPP.00012,LIEVITO PER DOLCI 1KG,KG,KG,1,11.2652,0.8,9.0122,05_Maggio,9.01
FOOD,PASTICCE,FOO.PPP.00013,CIOCCOLATO FONDENTE,KG,KG,1,11.4188,1.96,26.1415,05_Maggio,22.380848
FOOD,PASTICCE,FOO.PPP.00014,CACAO,KG,KG,1,12,2,31.6134,05_Maggio,24
FOOD,PASTICCE,FOO.PPP.00016,MARMELLATA ALBICOCCA,KG,KG,1,5.9879,6,35.9271,05_Maggio,35.93
FOOD,SALUMI,FOO.SAL.00001,MORTADELLA IGP,KG,KG,1,6.7412,14.476,94.9986,05_Maggio,97.59
FOOD,SALUMI,FOO.SAL.00003,SALAME MILANO FIORUCCI,KG,KG,1,11.6723,8.148,93.1622,05_Maggio,95.11
FOOD,SALUMI,FOO.SAL.00004,PETTO DI TACCHINO FERRARINI,KG,KG,1,13.9696,30.54,430.7947,05_Maggio,426.63
FOOD,SALUMI,FOO.SAL.00005,PANCETTA / BACON,KG,KG,1,10.8796,38.212,421.6607,05_Maggio,415.73
FOOD,SALUMI,FOO.SAL.00006,PROSCIUTTO COTTO FERRARINI,KG,KG,1,7.7524,33.218,270.6867,05_Maggio,257.52
FOOD,SCATOLAM,FOO.SCA.00001,FAGIOLI HEINZ 415GRX24PZ,PZ,PZ,1,2.9195,159,430.0699,05_Maggio,464.2005
FOOD,SEMILDOL,FOO.SDO.00004,TORTA ARTIGIANALE CAPRESE 1KG,PZ,PZ,1,15.0618,8,101.7143,05_Maggio,120.49
FOOD,SEMILDOL,FOO.SDO.00005,TORTA ARTIGIANALE CROSTATA 1KG,PZ,PZ,1,14.9028,9,95.625,05_Maggio,134.13
FOOD,SEMILDOL,FOO.SDO.00006,TORTA ARTIGIANALE ALLE CAROTE 1 KG,PZ,PZ,1,14.8271,7,69.6769,05_Maggio,103.79
FOOD,SEMILDOL,FOO.SDO.00007,PLUMCAKE ARTIGIANALE CACAO 800GR,PZ,PZ,1,10.9522,7,69.8462,05_Maggio,76.6654
FOOD,SEMILDOL,FOO.SDO.00008,PASTIERA NAPOLETANA 100GRX24PZ,PZ,PZ,1,1.1042,254,280.4583,05_Maggio,280.4668
